id,curriculum_id,curriculum_has_id,course_id,clo_id,plo_id,is_map,created_at,updated_at
1,1,1,1,1,1,true,2024-10-18 08:52:55,2024-10-18 08:52:55
2,1,1,1,2,1,true,2024-10-18 08:52:55,2024-10-18 08:52:55
3,1,1,1,3,1,true,2024-10-18 08:52:55,2024-10-18 08:52:55
4,2,2,2,4,13,true,2024-10-24 07:58:50,2024-10-24 07:58:50
5,2,2,2,5,14,true,2024-10-24 07:58:50,2024-10-24 07:58:50
6,2,2,2,5,15,true,2024-10-24 07:58:50,2024-10-24 07:58:50
7,6,6,6,13,23,true,2024-10-24 10:38:21,2024-10-24 10:38:21
8,6,6,6,14,24,true,2024-10-24 10:38:21,2024-10-24 10:38:21
9,6,6,6,15,25,true,2024-10-24 10:38:21,2024-10-24 10:38:21
10,5,4,4,9,20,true,2024-10-24 10:42:33,2024-10-24 10:42:33
11,5,4,4,10,21,true,2024-10-24 10:42:33,2024-10-24 10:42:33
12,5,4,4,11,22,true,2024-10-24 10:42:33,2024-10-24 10:42:33
13,5,4,4,11,21,true,2024-10-24 10:42:33,2024-10-24 10:42:33
14,6,8,8,19,23,true,2024-10-29 08:30:23,2024-10-29 08:30:23
15,6,8,8,20,24,true,2024-10-29 08:30:23,2024-10-29 08:30:23
16,6,8,8,21,25,true,2024-10-29 08:30:23,2024-10-29 08:30:23
17,6,8,8,21,27,true,2024-10-29 08:30:23,2024-10-29 08:30:23
18,7,9,9,22,28,true,2024-10-30 03:17:37,2024-10-30 03:17:37
19,7,9,9,23,29,true,2024-10-30 03:17:37,2024-10-30 03:17:37
20,7,9,9,24,28,true,2024-10-30 03:17:37,2024-10-30 03:17:37
21,7,9,9,23,28,true,2024-10-30 03:17:37,2024-10-30 03:17:37
22,7,9,9,22,41,true,2024-10-31 19:05:22,2024-10-31 19:05:22
23,7,9,9,23,42,true,2024-10-31 19:05:22,2024-10-31 19:05:22
24,7,9,9,24,43,true,2024-10-31 19:05:22,2024-10-31 19:05:22
25,48,174,174,456,506,true,2024-11-11 14:42:07,2024-11-11 14:42:07
26,48,174,174,457,506,true,2024-11-11 14:42:07,2024-11-11 14:42:07
27,48,174,174,458,506,true,2024-11-11 14:42:07,2024-11-11 14:42:07
28,48,174,174,459,506,true,2024-11-11 14:42:07,2024-11-11 14:42:07
29,48,174,174,457,507,false,2024-11-11 14:42:07,2024-11-11 14:42:07
30,48,174,174,457,509,true,2024-11-11 14:42:07,2024-11-11 14:42:07
31,48,174,174,458,510,true,2024-11-11 14:42:07,2024-11-11 14:42:07
15135,31,2884,2706,17400,246,true,2025-07-22 14:07:59,2025-07-22 14:07:59
15136,31,2884,2706,17401,246,true,2025-07-22 14:07:59,2025-07-22 14:07:59
15137,31,2884,2706,17402,246,true,2025-07-22 14:07:59,2025-07-22 14:07:59
15138,31,2884,2706,17402,248,true,2025-07-22 14:07:59,2025-07-22 14:07:59
